Document,Category
"I'm looking for a database called ""Micro World Data Bank II"", a database
with digital map information containing 178,068 latitude, longitude points.
It is said to be in the public domain. If anyone knows a place where I can
get it (preferably FTP/gopher/mailserver etc.; otherwise snail mail) please
let me know. I you have it yourself and are willing to send me the file,
drop me a line.

I'll be using it with a program called VERSAMAP by Charles H. Culberson.
If anyone knows of another detailed database that can be used with this
program (preferably PD), I would be very interested.

Replies by e-mail please, directly to me, I don't read this group regularly.
If there's interest I'll post a summary, of course.",1
"Unless otherwise noted, I am mainly interested in USED items.
If you have (any of) the following for sale, please contact me:
        EMail           mbeck@vtssi.vt.edu
        Phone           (703)552-4381
        USMail          Michael Beck
                        1200 Progress Street #5500E
                        Blacksburg, Virginia 24060
 
Please give as much info as possible (brand, age, condition, etc)
~~~~~~~~~~WANTED as of 12AM, 4/16/93~~~~~~~~~~
 
COMPUTER EQUIP:
 
1       CHEAP tape drive - pretty much any kind (Used)
 
1       Memory for PS/2 Model 50Z (New or Used)
 
1       Macintosh computer
 
1       486 66mhz chip (New or Used)
 
1       COLORADO tape drive, 250 megabyte, preferr. w/ 5 tapes (Used)
 
1       101 key-AT keyboard
 
1       High Density (1.2 mb) 5 1/4 disk drive
 
1       Printer - OMS410 or HP LASER or HP DESKJET series
 
1       Printer - 24 pin or DESKJET
 
1       High Density (1.2 mb) 5 1/4 disk drive EXTERNAL
 
1       Adaptec 1542 SCSI 16-bit HD/FD controller (Used)
 
1       Piggy back memory expansion for INTEL INBOARD 386       
 
1       130 MB IDE Hard Drive
 
2       17"" monitor, 1280 resolution, .28 dot pitch or better, digital
 
 
NON-COMPUTER EQUIP:
 
1       drum set       
 
mult.   amps for a band
 
1       TV - 27"" or bigger, stereo
 
1       VCR - 4 Heads, stereo
 
1       Receiver - 100 Watts or more w/ Dolby Prologic Surround Sound
                capability
 
1       Bed - Full or Queen sized - LOCAL OFFERS only, please",6
"(oh boy. it's the [in]famous Phill Hallam-Baker.)

} 
} 
} |>... but like ""basic plus"" cable, you have to tell them that you don't
} |>want it ... for example, Hutterite colonies in western Canada are not
} |>part of it (Mennon and Hutter were fundamentalist Protestants from
} |>Germany whose followers left for the New World ... Mennonites are a
} |>very diverse lot while Hutterites are similiar to the Amish).  The
} |>American idea being floated today gives you no option but to live
} |>off the land ...
} |>
} |>>the selfish bastards that they are. unfortunately, that number has
} |>>diminished recently, but once President Pinocchio gets through
} |>>with us, i hope for a reversal of trend.
} 
} Well here we have the right hoping for more selfish bastards. Pity they
} don't look at what 12 years of the Regan/Bush ""selfish Bastard"" ecconomy
} has done to the country.

how about what 25 years of tax-and-spend, big government, institutionalized
dependency, and out-of-control good intentions at others' expense has
done to the country?
} 
} Elect a selfish bastard government and they will run the country for themselves,
} thats why they are selfish bastards. Bush and Regan gave tax breaks for the
} ultra rich and paid for them by borrowing against the incomes of the middle
} class.

yeah, right. and Clinton is any different? please.
he is just a better lia... i mean, politician.

you think Slick and his gang of elitist socialist academics will lead
us to the promised land? don't hold your breath.",18
"
That's absurd! That statement must therefore say that any argument in favor
of seatbelts or airbags is an argument against automobiles.  Any argument
for lifeguards is an argument against swimming.  It says that any agrgument
in favor of safety precautions is an argument for banning the activity to 
which the precautions apply.  Extrapolating to that degree is ridiculous,
there wouldn't be any normal human activity left to do; therefore it is
a non-seqitur.

Also, even though most people do not ride motorcycles, they do boat, sail,
jetski, climb, ski, fly parachute, hang-glide, glide, bungee-jump, bike,
skate, rollerblade, skateboard, play rugby (ouch), mow the lawn, rewire
the basement, operate heavy machinery,  and do a host of other 'dangerous'
things that would all be as valid as motorcycling as activities to ban.
Your little homily applies to all those things, and the general public
buying into banning motorcycles without realizing that their activity
would be next is unlikely.
",8
"I've been running Dos 6 for about a month.  I was generally impressed with
the improvements:  the multiple boot configurations were great, the
new commands were nice, and DoubleSpace worked fine (twice as slow for
large data transfers, twice as fast for small with SmartDrv).

Until now.

This morning at 4 am while I was working on my research paper, I had to
reboot a hung Dos program (that did no disk i/o) from within Windows 3.1.
When my machine finished rebooting, I found my windows directory and about two
thirds of my other directories were irreversibly corrupted.

I cannot afford problems like this.  I'm returning to Dos 5.

mark",2
"For those Leaf fans who are concerned, the following players are slated for
return on Thursday's Winnipeg-Toronto game :
    Peter Zezel, John Cullen

  Mark Osborne and Dave Ellett are questionable to return on Thursday.",10
": I'm looking to buy a 17"" monitor soon, and it seems that I can't decide what
: monitor I should buy. I have a MAG 17S (this is a .25 dpi version and it using
: a TRINITON tube) and a NANAO 560i in mind.

Good luck finding an MX17S.  When I was looking around back in
December/January, Mag wasn't producing any because they couldn't get
tubes from Sony.  I asked when they expected to restart production as
I was willing to wait a few months to get an MX17S but they said not
any time soon.  I wound up getting a T560i and am extremely happy with
it.

David",3
"

Some tape archivists suggest what they were after had something to do with
the Kennedy assasination. Let's hear all of the tapes real soon, shall we?
 ",18
"   >>I'm surprised that you don't consider the acquisition of land by
   >>the Jews from arabs, for the purpose of establishing an exclusive
   >>state, as a hostile action leading to war.


Could you please tell me what was the ethnic composition of 
Israel right after it was formed. 



No one in his right mind would sell his freedom and dignity.
Palestinians are no exception. Perhaps you heard about
anti-trust in the business world.

Since we are debating the legality of a commercial
transaction, we must use the laws governing the guidelines
and ethics of such transactions. Basic ANTI-TRUST law says
that, while you can purchase IBM stocks for the purpose of
investing, you can not acquire a large number of those
shares with the intent or controlling IBM. You can do so
only if you make your intentions CLEAR apriori . Clearly,
the Jews who purchased properties from palastenians had some
designs, they were not buying a dwelling or a real estate.
They were establishing a bridgehead for the European Jews.

The palastenians sold their properties to the Jews in the
old tradition of arab hospitality. Being a multi-ethnic /
multi-religious society, accepting the jews as neighbours
was no different, just another religion. Plus they paid fair
market value, etc... They did not know they were victims of
an international conspiracy. (I'm not a conspiracy theorist
myself, but this one is hard to dismiss).




Again Adam, the devil is in the details. I don't want to get
on a tangent here but its the same reasonning that says its
OK to return 100 deportes and leave the rest. Because 100 is
a nice number that you can devide by 10, 100 and besides, it
has an integer square root.



Do you actually believe this? My experience tells me that
every palestinian I knew still keeps the key to his home, in
Palestine. Besides they often refer to their exodus as an
escape from hell (so to speak). I know none that agrees with
you. Did you sample their opinions? I know you don't care,
just being rethorical.




Don't get me wrong. I beleive that Israel is democratic
within the constraints of one dominant ethnic group (Jews).
Israel probably had a few options after 1948: ethnic
cleansing Serbian style, and deserve the wrath of the
international community, or make the best out of a no win
condition: show the world how good Israel is towards the
'bad' arabs. Personaly, I've never heard anything about the
arab community in Isreal. Except that they're there.  So
yes, they're there. But as a community with history and
roots, its dead.






I stand corrected. I meant that the jewish culture was not
predominant in Palestine in recent history. I have no
problem with Jerusalem having a jewish character if it were
predominantly Jewish. So there. what to make of the rest
Palestine?



-- 
Sam Zbib                                         Bell-Northern Research
------------------------------------------------------------------------
Bitnet/Internet: zbib@bnr.ca                    VOICE:  (613) 763-5889
                                                FAX:    (613) 763-2626
Surface Mail: Stop 162, P.O.Box 3511, Station C, Ottawa, Canada, K1Y 4H7",17
"

Because, the x-Soviet Armenian government got away with the genocide 
of 2.5 million Turkish men, women and children and is enjoying the 
fruits of that genocide. And they are doing 'it' again. Are you so 
blind?


Kurds 'R' us; Armenians 'R' not.


Excuse me?

 ""We closed the roads and mountain passes that might serve as 
  ways of escape for the Tartars and then proceeded in the work 
  of extermination. Our troops surrounded village after village. 
  Little resistance was offered. Our artillery knocked the huts 
  into heaps of stone and dust and when the villages became untenable 
  and inhabitants fled from them into fields, bullets and bayonets 
  completed the work. Some of the Tartars escaped of course. They 
  found refuge in the mountains or succeeded in crossing the border 
  into Turkey. The rest were killed. And so it is that the whole 
  length of the borderland of Russian Armenia from Nakhitchevan to 
  Akhalkalaki from the hot plains of Ararat to the cold mountain 
  plateau of the North were dotted with mute mournful ruins of 
  Tartar villages. They are quiet now, those villages, except for 
  howling of wolves and jackals that visit them to paw over the 
  scattered bones of the dead."" 

                             Ohanus Appressian
                            ""Men Are Like That""
                                   p. 202.


A genocide is a deliberate and organized massacre of people in an 
attempt to exterminate a race. This is the worst crime in history. 
It happened to the Turks in eastern Anatolia and the Armenian 
dictatorship. 2.5 million Turks and Kurds were killed in the worst 
ways imaginable. It is sickening to think that the human race is capable 
of such actions, but there is no denying the fact that the Armenian 
genocide of 2.5 million Muslims happened.

People of Turkiye deeply sympathize with those whose relatives were 
killed in the Turkish genocide. I understand their anger that there 
are those who still deny that the Turkish genocide indeed took place, 
despite the fact that the genocide of 2.5 million Turks has been 
well documented over the past six decades. We cannot reverse
the events of the past, but we can and we must strive to keep the
memory of this tragedy alive on this side of the Atlantic, so as
to help prevent a recurrence of the extermination of a people
because of their religion or their race. 

Source: Bristol Papers, General Correspondence: Container #32 - Bristol
        to Bradley Letter of September 14, 1920.

""I have it from absolute first-hand information that the Armenians in 
 the Caucasus attacked Tartar (Turkish) villages that are utterly 
 defenseless and bombarded these villages with artillery and they murder
 the inhabitants, pillage the village and often burn the village.""


Why not?


And the Germans were subject to Jewish Genocide? Are you for real? 
Tell me 'Halsall', were you high on ""ASALA/SDPA/ARF"" forgeries and
fabrications when you wrote that? Where is your non-existent list
of scholars. Here is mine: During the First World War and the ensuing 
years - 1914-1920, the Armenian Dictatorship through a premeditated 
and systematic genocide, tried to complete its centuries-old policy 
of annihilation against the Turks and Kurds by savagely murdering 
2.5 million Muslims and deporting the rest from their 1,000 year 
homeland.

The attempt at genocide is justly regarded as the first instance
of Genocide in the 20th Century acted upon an entire people.
This event is incontrovertibly proven by historians, government
and international political leaders, such as U.S. Ambassador Mark 
Bristol, William Langer, Ambassador Layard, James Barton, Stanford 
Shaw, Arthur Chester, John Dewey, Robert Dunn, Papazian, Nalbandian, 
Ohanus Appressian, Jorge Blanco Villalta, General Nikolayef, General 
Bolkovitinof, General Prjevalski, General Odiselidze, Meguerditche, 
Kazimir, Motayef, Twerdokhlebof, General Hamelin, Rawlinson, Avetis
Aharonian, Dr. Stephan Eshnanie, Varandian, General Bronsart, Arfa,
Dr. Hamlin, Boghos Nubar, Sarkis Atamian, Katchaznouni, Rachel 
Bortnick, Halide Edip, McCarthy, W. B. Allen, Paul Muratoff and many 
others.

J. C. Hurewitz, Professor of Government Emeritus, Former Director of
the Middle East Institute (1971-1984), Columbia University.

Bernard Lewis, Cleveland E. Dodge Professor of Near Eastern History,
Princeton University.

Halil Inalcik, University Professor of Ottoman History & Member of
the American Academy of Arts & Sciences, University of Chicago.

Peter Golden, Professor of History, Rutgers University, Newark.

Stanford Shaw, Professor of History, University of California at
Los Angeles.

Thomas Naff, Professor of History & Director, Middle East Research
Institute, University of Pennsylvania.

Ronald Jennings, Associate Professor of History & Asian Studies,
University of Illinois.

Howard Reed, Professor of History, University of Connecticut.

Dankwart Rustow, Distinguished University Professor of Political
Science, City University Graduate School, New York.

John Woods, Associate Professor of Middle Eastern History, 
University of Chicago.

John Masson Smith, Jr., Professor of History, University of
California at Berkeley.

Alan Fisher, Professor of History, Michigan State University.

Avigdor Levy, Professor of History, Brandeis University.

Andreas G. E. Bodrogligetti, Professor of History, University of California
at Los Angeles.

Kathleen Burrill, Associate Professor of Turkish Studies, Columbia University.

Roderic Davison, Professor of History, George Washington University.

Walter Denny, Professor of History, University of Massachusetts.

Caesar Farah, Professor of History, University of Minnesota.

Tom Goodrich, Professor of History, Indiana University of Pennsylvania.

Tibor Halasi-Kun, Professor Emeritus of Turkish Studies, Columbia University.

Justin McCarthy, Professor of History, University of Louisville.

Jon Mandaville, Professor of History, Portland State University (Oregon).

Robert Olson, Professor of History, University of Kentucky.

Madeline Zilfi, Professor of History, University of Maryland.

James Stewart-Robinson, Professor of Turkish Studies, University of Michigan.

.......so the list goes on and on and on.....

Now wait, there is more.

  Mark Alan Epstein, 'The Ottoman Jewish Communities and their Role
  in the Fifteenth and Sixteenth Centuries,' Klaus Schwarz Werlag,
  Freiburg (1980).

  page 19:

 <<During the fifteenth century, when the Ottomans were struggling to
  reestablish themselves in the Balkans, there was considerable turmoil
  among the Jewish communities in Central and Western Europe. Even if
  the difficulties of the darker centuries immediately preceding the
  fourteenth are minimized, it is easy to understand the attraction which
  Ottoman life, particularly when compared to life in Europe, held for the
  Jews. There is no way to tell how many Jews left Christendom for the
  realm of the rising Muslim Ottomans, but with each account of persecution
  in or expulsion from Christian countries it is recorded that some Jews
  fled to Ottoman territory. The regularity of these reports suggests that
  the Ottomans were considered reasonably tolerant protectors and that
  there was a regular trickle of Jewish families moving southward and
  eastward from Western and Central Europe. (...) It is evident that the
  effects of plague, late crusades, and the general intolerance and
  persecution of Jews in Christian Europe resulted in the redirection
  of the whole focus of Jewish life which, for more than two centuries,
  was to be oriented toward Muslim East.>>


  page 21:

  <<In the second quarter of the fifteenth century the foremost official
  in the  Edirne Jewish community was Rabbi Yitzhak Sarfati the Ashkenazi
  Chief Rabbi of the city. He was the most important rabbi in the city and
  the author of an important letter which tells us something of the situation
  of the Edirne Jewry in the fifteenth century. Sarfati himself was from
  Christian Europe and supposedly wrote this letter at the behest of two
  recent arrivals from there, who, upon seeing the prosperity and freedom
  of the Ottoman Jews, prevailed upon him to write their European
  coreligionists apprising them of the situation and urging them to migrate.
  This remarkable letter advised its recipients not only of the pleasant
  conditions in the Ottoman domains, but described as well the ease of
  travel to Palestine and the holy places, an attraction to those who
  would make a pilgrimage or choose to be buried there.>> (*)


  page 41:

 <<...the impression gained from the Hebrew sources is that the Jews were
 firmly aware of the community of interests which existed between them
 and the Ottomans, especially in comparison to relations with the Christians
 of Europe.

 Confirmation of the commonality of interests between Muslims and Jews is
 also indicated by the fact that European Christians perceived the Jews
 as allies of Islam and were well aware of Muslim-Jewish cooperation.
 Certainly the activity of important Jewish financiers and politicians
 representing the Ottoman government abroad did not pass unnoticed. European
 sources are the basis for much of our knowledge of their careers. In addition
 it appears that Christian pirates plundered ''Turks and Jews,''  their
 sworn enemies, and that Europeans considered the Jews to be agents who
 regularly reported to the Ottomans.

 There are well-known examples of overt Jewish support for the Ottomans
 in the struggle against European powers. The two best known instances
 of Jewish support for the campaigning Ottomans are the frequently cited
 instances of the Jewish contributions to the conquests of Buda, in the
 early sixteenth century, and of Rhodes. We also have reports of sympathy
 for the Ottomans during the siege of Chios. An unpublished Ottoman
 document shows dramatically the mutual interests which existed in some
 Greek towns...>>

 page 43:

  <<It is clear that throughout the sixteenth century it was a generally
 accepted fact that the interests of Jews and Muslims coincided frequently,
 and all parties involved, Jews, Muslims, and Christians, were aware of
 the situation.>>


 page 46:

 <<...it seems that the relations between Greeks and Jews were not
 particularly cordial. The two groups had little in common, few common
 interests, and perceived no common philosophical or religious tradition
 which could serve as the basis for cooperation, rather than enmity. If
 there was any identifiable bond of good will which existed between
 religious communities in the fifteenth and sixteenth centuries, it was
 that between Muslims and Jews, neither of whom had much in common with
 the Orthodox.>>

 page 46:

 <<The general impression of Muslim-Jewish relations in the Ottoman context
 during the fifteenth and sixteenth centuries is one of community of
 interests. From the earliest times the Ottomans seem to have welcomed
 Jews to their territory and to have found in the communities already
 existing in places which they conquered a cooperative element. The Jewish
 response to this tolerance was a steady flow of Jews from Christian
 countries to Ottoman domains.>>

 page 151:

  <<From the period before 1453 we have only a few indications that the
  Ottoman-Jewish relationship was well on the course of amity which would
  characterize it for years afterward, but the liberality of the Ottomans,
  in contrast to the intolerance of the Byzantines, and the protection and
  the security which the Ottomans offered, in comparison to conditions
  elsewhere, leave little doupt that even then both the Ottomans and the
  Jews recognized their mutual interests...>>

  page 161:

  <<It is impossible to say how fundamental the Jews were in the success
  of the Ottomans in rebuilding Istanbul or in Ottoman mercantile success
  in the sixteenth century. That they played an important role in both
  cannot be doupted. It is also unclear whether they were important enough
  to say that the Ottomans would not have experienced their great success
  without the Jews and that no other group could have been found to serve
  the Ottomans as well as did the Jews. It is, however, unmistakably clear
  that there are few parallels in world history to this remarkable
  partnership between Jews and the non-Jewish society in which they lived.
  We must conclude that the Ottomans could probably not achieved their
  success without a group performing certain tasks for them as well as the
  Jews did. Certainly for the Jews of the fifteenth and sixteenth centuries
  the Ottoman Empire was a most remarkable and salubrious home.>>


(*) A version of Rabbi Sarfati's [Tzarfati] letter is given by Prof.Shaw:

  page 32:

  <<Your cries and sobs reached us. We have been told of all the troubles
  and persecutions which you have to suffer in the German lands....I hear
  the lamentation of my brethren...The barbarous and cruel nation ruthlessly
  oppresses the faithful children of the chosen people...The priests and
  prelates of Rome have risen. They wish to root out the memory of Jacob
  and erase the name of Israel. They always devise new persecutions. They
  wish to bring you to the stake...Listen my brethren, to the counsel I will
  give you. I too was born in Germany and studied Torah with the German
  rabbis. I was driven out of my native country and came to the Turkish land,
  which is blessed by God and filled with all good things. Here I found rest
  and happiness; Turkey can also become for you the land of peace...If you
  who live in Germany knew even a tenth of what God has blessed us with
  in this land, you would not consider any difficulties; you would set out
  to come to us...Here in the land of the Turks we have nothing to complain
  of. We possess great fortunes; much gold and silver in our hands. We are
  not oppressed with heavy taxes, and our commerce is free and unhindered.
  Rich are the fruits of the earth. Everything is cheap, and every one of us
  lives in peace and freedom. Here the Jew is not compelled to wear a yellow
  hat as a badge of shame, as is the case in Germany, where even wealth and
  great fortune are a curse for a Jew because he therewith arouses jealousy
  among the Christians and they devise all kinds of slander against him
  to rob him of his gold. Arise my brethren, gird up your loins, collect
  your forces, and come to us. Here you will be free of your enemies, here
  you will find rest...>>[13]

[13] Israel Zinberg, A History Of Jewish Literature. vol.V. The Jewish
     Center of Culture in the Ottoman Empire (Hebrew Union College Press,
     Ktav Publishers, New York, 1974).

Serdar Argic",17
